Building;Address;Latitude;Longitude;
CAB;Universitätstrasse 6, 8092 Zürich
CHN;Universitätstrasse 16, 8092 Zürich
CLA;Tannenstrasse 3, 8092 Zürich
ETA;Gloriastrasse 35, 8092 Zürich
ETF;Sternwartstrasse 7, 8092 Zürich
ETL;Physikstrasse 3, 8092 Zürich
ETZ;Gloriastrasse 35, 8092 Zürich
FMG;Eschikon 33, 8315 Lindau
GLC;Gloriastrasse 37/ 39, 8092 Zürich
HAA;Häldeliweg 15/17, 8092 Zürich
HCI;Vladimir-Prelog-Weg 1-5 / 10, 8093 Zürich
HCP;Leopold-Ruzicka-Weg 4, 8093 Zürich
HG;Rämistrasse 101, 8092 Zürich
HIL;Stefano-Franscini-Platz 5, 8093 Zürich
HIP;Gustave-Naville-Weg 1, 8093 Zürich
HIQ;Gustave-Naville-Weg 3, 8093 Zürich
HIR;Gustave-Naville-Weg 5, 8093 Zürich
HIT;Wolfgang-Pauli-Strasse 27, 8093 Zürich
HPF;Otto-Stern-Weg 1, 8093 Zürich
HPH;Joseph-von-Deschwanden-Platz 1, 8093 Zürich
HPI;Wolfgang-Pauli-Strasse 14, 8093 Zürich
HPK;Otto-Stern-Weg 5, 8093 Zürich
HPL;Otto-Stern-Weg 7. 8093 Zürich
HPM;Otto-Stern-Weg 3. 8093 Zürich
HPT;Auguste-Piccard-Hof 1, 8093 Zürich
HPV;Robert-Gnehm-Weg 15, 8093 Zürich
HPZ;John-von-Neumann-Weg 9, 8093 Zürich
I17;Winterthurerstrasse 190, 8057 Zürich
I55;Winterthurerstrasse 190, 8057 Zürich
IFW;Haldeneggsteig 4, 8092 Zürich
LEE;Leonhardstrasse 21, 8092 Zürich
LEH;Leonhardshalde 21, 8092 Zürich
LEO;Leonhardstrasse 27, 8092 Zürich
LFO;Schmelzbergstrasse 9, 8092 Zürich
LFV;Schmelzbergstrasse 7, 8092 Zürich
LFW;Universitätstrasse 2, 8092 Zürich
ML;Sonneggstrasse 3, 8092 Zürich
MM;Leonhardstrasse 34, 8092 Zürich
NO;Sonneggstrasse 5, 8092 Zürich
ONA;Neunbrunnenstrasse 50, 8093 Zürich
RZ;Clausiusstrasse 59, 8092 Zürich
SEC;Scheuchzerstrasse 7, 8092 Zürich
SEW;Scheuchzerstrasse 68/70, 8092 Zürich
SLA;Schorenstrasse 16, 8603 Schwerzenbach
TUR;Turnerstrasse 1, 8092 Zürich
WES;Weinbergstrasse 41, 8092 Zürich
ZUE;Zürichbergstrasse 18, 8092 Zürich
